2021-09-25 19:50:10.024 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-09-25 19:50:10.041 [main] INFO  com.hzl.gateway.GatewayApplication - Starting GatewayApplication using Java 1.8.0_202 on hzldeMacBook-Pro.local with PID 86372 (/Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway/target/classes started by hzl in /Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway)
2021-09-25 19:50:10.042 [main] INFO  com.hzl.gateway.GatewayApplication - The following profiles are active: local
2021-09-25 19:50:11.451 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 19:50:11.452 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-09-25 19:50:11.474 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
2021-09-25 19:50:11.497 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 19:50:11.499 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-25 19:50:11.515 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2021-09-25 19:50:11.852 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=56ee0d61-a1c9-3400-9204-3602d475dc86
2021-09-25 19:50:12.232 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 19:50:12.253 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-09-25 19:54:32.559 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-09-25 19:54:32.579 [main] INFO  com.hzl.gateway.GatewayApplication - Starting GatewayApplication using Java 1.8.0_202 on hzldeMacBook-Pro.local with PID 86604 (/Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway/target/classes started by hzl in /Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway)
2021-09-25 19:54:32.581 [main] INFO  com.hzl.gateway.GatewayApplication - The following profiles are active: local
2021-09-25 19:54:34.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
